"Name","Description","ProtocolAccess","BasicMountPath","SmbMountPath","NfsMountPath","LogicalUsageGB"
"oracle_dbd002dgl","","KNFSOnly","/Default/oracle_dbd002dgl/fs",,"sbch-dp01br.selective.com:/oracle_dbd002dgl","0"
"__dummy___29974","","KAll","/Default/__dummy___29974/fs","\\sbch-dp01br.sigitest.ustest.selective.com\__dummy___29974","sbch-dp01br.selective.com:/__dummy___29974","0"
"permTestView","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\permTestView",,"0"
"talg-fs01p_archive01","","KNFSOnly","/Default/talg-fs01p_archive01/fs",,"sbch-dp01br.selective.com:/talg-fs01p_archive01","2244.18"
"Cohesity_archive","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\Cohesity_archive",,"389.32"
"oracle_claim2tt","","KNFSOnly","/Default/oracle_claim2tt/fs",,"sbch-dp01br.selective.com:/oracle_claim2tt","16658.99"
"oracle_dbs001dgl","","KNFSOnly","/Default/oracle_dbs001dgl/fs",,"sbch-dp01br.selective.com:/oracle_dbs001dgl","67793.79"
"oracle_dbp002orl","","KNFSOnly","/Default/oracle_dbp002orl/fs",,"sbch-dp01br.selective.com:/oracle_dbp002orl","543.25"
"oracle_dbsh-db02p","","KNFSOnly","/Default/oracle_dbsh-db02p/fs",,"sbch-dp01br.selective.com:/oracle_dbsh-db02p","1300.09"
"oracle_dbp001orl","","KNFSOnly","/Default/oracle_dbp001orl/fs",,"sbch-dp01br.selective.com:/oracle_dbp001orl","350.4"
"oracletesting_qclm","","KNFSOnly","/Default/oracletesting_qclm/fs",,"sbch-dp01br.selective.com:/oracletesting_qclm","155.43"
"oracle_dbq001dgl","","KNFSOnly","/Default/oracle_dbq001dgl/fs",,"sbch-dp01br.selective.com:/oracle_dbq001dgl","24207.7"
"oracle_dbp001dgl","","KNFSOnly","/Default/oracle_dbp001dgl/fs",,"sbch-dp01br.selective.com:/oracle_dbp001dgl","11314.55"
"oracle_dbd001dgl","","KNFSOnly","/Default/oracle_dbd001dgl/fs",,"sbch-dp01br.selective.com:/oracle_dbd001dgl","3389.44"
"oracle_claim2p","","KNFSOnly","/Default/oracle_claim2p/fs",,"sbch-dp01br.selective.com:/oracle_claim2p","21991.65"
"oracle_cmmc-db05t","","KNFSOnly","/Default/oracle_cmmc-db05t/fs",,"sbch-dp01br.selective.com:/oracle_cmmc-db05t","8743.25"
"oracle_dbs001dgl_SMUS","","KNFSOnly","/Default/oracle_dbs001dgl_SMUS/fs",,"sbch-dp01br.selective.com:/oracle_dbs001dgl_SMUS","0"
"oracletesting_dmus","","KNFSOnly","/Default/oracletesting_dmus/fs",,"sbch-dp01br.selective.com:/oracletesting_dmus","3214.02"
"oracletesting_2t","","KNFSOnly","/Default/oracletesting_2t/fs",,"sbch-dp01br.selective.com:/oracletesting_2t","2215.99"
"test_migrate","","KNFSOnly","/Default/test_migrate/fs",,"sbch-dp01br.selective.com:/test_migrate","33028.87"
"MarkLogic_Prod_Archive","Clone view for recovery task 3273776","KNFSOnly","/Default/MarkLogic_Prod_Archive/fs",,"sbch-dp01br.selective.com:/MarkLogic_Prod_Archive","6973.04"
"Mount-NAS_fs204","Clone view for recovery task 3270189","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\Mount-NAS_fs204",,"283.93"
"sql_test_exception","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\sql_test_exception",,"0.1"
"ibmiias","","KNFSOnly","/Default/ibmiias/fs",,"sbch-dp01br.selective.com:/ibmiias","10237.68"
"postgres_test","","KNFSOnly","/Default/postgres_test/fs",,"sbch-dp01br.selective.com:/postgres_test","4.04"
"postgres_prod","","KNFSOnly","/Default/postgres_prod/fs",,"sbch-dp01br.selective.com:/postgres_prod","11.89"
"test_remote_view","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\test_remote_view",,"0"
"SQL_PROD14","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD14",,"20618.17"
"SQL_PROD13","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD13",,"0"
"SQL_PROD12","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD12",,"0"
"SQL_PROD11","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD11",,"0"
"SQL_PROD10","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD10",,"0"
"SQL_PROD9","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD9",,"4896.13"
"SQL_PROD7","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD7",,"0"
"SQL_PROD6","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD6",,"0"
"SQL_PROD5","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD5",,"140.48"
"SQL_PROD4","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD4",,"8851.02"
"SQL_PROD3","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD3",,"0"
"SQL_PROD2","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD2",,"429.53"
"SQL_PROD","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD",,"5182.9"
"vnx_archive","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\vnx_archive",,"0.53"
"netezza","Clone view for recovery task 2126473","KNFSOnly","/Default/netezza/fs",,"sbch-dp01br.selective.com:/netezza","10584.55"
"dc_system_state_bk","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\dc_system_state_bk",,"10.52"
"MarkLogic_Prod","Clone view for recovery task 2040496","KNFSOnly","/Default/MarkLogic_Prod/fs",,"sbch-dp01br.selective.com:/MarkLogic_Prod","0"
"MarkLogic_Test","Clone view for recovery task 2040314","KNFSOnly","/Default/MarkLogic_Test/fs",,"sbch-dp01br.selective.com:/MarkLogic_Test","15320.88"
"MarkLogic_Dev","Clone view for recovery task 2037176","KNFSOnly","/Default/MarkLogic_Dev/fs",,"sbch-dp01br.selective.com:/MarkLogic_Dev","10809.87"
"oracle","Clone view for recovery task 2032352","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\oracle",,"151582.88"
"tsm_prod_noreplicate","Clone view for recovery task 1705208","KNFSOnly","/Default/tsm_prod_noreplicate/fs",,"sbch-dp01br.selective.com:/tsm_prod_noreplicate","2176"
"tsm_prod","Clone view for recovery task 1705117","KNFSOnly","/Default/tsm_prod/fs",,"sbch-dp01br.selective.com:/tsm_prod","19646.64"
"tsm_prod_exchange","Clone view for recovery task 1702989","KNFSOnly","/Default/tsm_prod_exchange/fs",,"sbch-dp01br.selective.com:/tsm_prod_exchange","2496"
"tsm_prod_indexengines","Clone view for recovery task 1702921","KNFSOnly","/Default/tsm_prod_indexengines/fs",,"sbch-dp01br.selective.com:/tsm_prod_indexengines","33028.87"
"netezza_test","Clone view for recovery task 1702687","KNFSOnly","/Default/netezza_test/fs",,"sbch-dp01br.selective.com:/netezza_test","3504.77"
"claimdev","","KNFSOnly","/Default/claimdev/fs",,"sbch-dp01br.selective.com:/claimdev","26604.18"
"SQL_PROD18","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD18",,"20313.4"
"SQL_TEST","","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_TEST",,"258085.01"
"SQLPROD4","Clone view for recovery task 434402","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQLPROD4",,"21191.65"
"Test_NFS","Clone view for recovery task 41731","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\Test_NFS",,"0"
"test","","KNFSOnly","/Default/test/fs",,"sbch-dp01br.selective.com:/test","0"
"SQL_PROD8","Clone view for recovery task 961","KSMBOnly",,"\\sbch-dp01br.sigitest.ustest.selective.com\SQL_PROD8",,"0.88"
